date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:00	46677/46677	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:39:09%20GMT	https://www.lucideus.com/	lucideus/www.lucideus.com/index.html	(from )
17:15:01	48/48	---M--	200	added ('OK')	text/plain	date:Wed,%2021%20Aug%202019%2004:39:20%20GMT	https://www.lucideus.com/robots.txt		(from )
17:15:01	1030/1030	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Aug%202019%2004:38:30%20GMT	https://www.lucideus.com/images/favicon.png	lucideus/www.lucideus.com/images/favicon.png	(from https://www.lucideus.com/)
17:15:03	197799/197799	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Aug%202019%2004:38:22%20GMT	https://www.lucideus.com/css/bootstrap4.min.css	lucideus/www.lucideus.com/css/bootstrap4.min.css	(from https://www.lucideus.com/)
17:15:03	48155/48155	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Aug%202019%2004:38:22%20GMT	https://www.lucideus.com/css/aos.min.css	lucideus/www.lucideus.com/css/aos.min.css	(from https://www.lucideus.com/)
17:15:04	125432/125432	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Aug%202019%2004:38:23%20GMT	https://www.lucideus.com/css/styles.css	lucideus/www.lucideus.com/css/styles.css	(from https://www.lucideus.com/)
17:15:05	51351/51351	---M--	200	added ('OK')	application/javascript	date:Wed,%2021%20Aug%202019%2004:39:10%20GMT	https://www.lucideus.com/js/lib/modernizr.js	lucideus/www.lucideus.com/js/lib/modernizr.js	(from https://www.lucideus.com/)
17:15:06	107063/107063	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2004:38:24%20GMT	https://www.lucideus.com/icons/icons.svg	lucideus/www.lucideus.com/icons/icons.svg	(from https://www.lucideus.com/)
17:15:07	46677/46677	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:39:09%20GMT	https://www.lucideus.com/index.html	lucideus/www.lucideus.com/index-2.html	(from https://www.lucideus.com/)
17:15:08	85794/85794	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:38:21%20GMT	https://www.lucideus.com/about.html	lucideus/www.lucideus.com/about.html	(from https://www.lucideus.com/)
17:15:09	41506/41506	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:39:20%20GMT	https://www.lucideus.com/safe.html	lucideus/www.lucideus.com/safe.html	(from https://www.lucideus.com/)
17:15:10	51145/51145	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:39:20%20GMT	https://www.lucideus.com/services.html	lucideus/www.lucideus.com/services.html	(from https://www.lucideus.com/)
17:15:11	37425/37425	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:38:23%20GMT	https://www.lucideus.com/customers.html	lucideus/www.lucideus.com/customers.html	(from https://www.lucideus.com/)
17:15:12	122972/122972	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:38:22%20GMT	https://www.lucideus.com/careers.html	lucideus/www.lucideus.com/careers.html	(from https://www.lucideus.com/)
17:15:14	258128/258128	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:39:12%20GMT	https://www.lucideus.com/media.html	lucideus/www.lucideus.com/media.html	(from https://www.lucideus.com/)
17:15:14	31769/31769	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:38:22%20GMT	https://www.lucideus.com/contact.html	lucideus/www.lucideus.com/contact.html	(from https://www.lucideus.com/)
17:15:16	305537/305537	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Aug%202019%2004:39:02%20GMT	https://www.lucideus.com/images/section-01.png	lucideus/www.lucideus.com/images/section-01.png	(from https://www.lucideus.com/)
17:15:16	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Aug%202019%2011:45:16%20GMT	https://www.lucideus.com/images/logos/logo-government.svg	lucideus/www.lucideus.com/images/logos/logo-government.svg	(from https://www.lucideus.com/)
17:15:17	10837/10837	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2004:38:46%20GMT	https://www.lucideus.com/images/logos/customer/finance/logo-npci.svg	lucideus/www.lucideus.com/images/logos/customer/finance/logo-npci.svg	(from https://www.lucideus.com/)
17:15:18	12125/12125	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2004:38:46%20GMT	https://www.lucideus.com/images/logos/customer/finance/logo-icici.svg	lucideus/www.lucideus.com/images/logos/customer/finance/logo-icici.svg	(from https://www.lucideus.com/)
17:15:19	14857/14857	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2004:38:45%20GMT	https://www.lucideus.com/images/logos/customer/finance/logo-hdfc.svg	lucideus/www.lucideus.com/images/logos/customer/finance/logo-hdfc.svg	(from https://www.lucideus.com/)
17:15:20	6921/6921	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2004:38:45%20GMT	https://www.lucideus.com/images/logos/customer/finance/logo-dbs.svg	lucideus/www.lucideus.com/images/logos/customer/finance/logo-dbs.svg	(from https://www.lucideus.com/)
17:15:21	6709/6709	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2004:38:46%20GMT	https://www.lucideus.com/images/logos/customer/finance/logo-soft.svg	lucideus/www.lucideus.com/images/logos/customer/finance/logo-soft.svg	(from https://www.lucideus.com/)
